ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
23951197,2009-03-12 14:04:15 +0000,2016-01-04 15:32:42 +0000,2521,329,1184,902,28058,aaronschock,Aaron Schock,true,false,,"More press not doing hmwrk:office painted before election,LaHood hired 2 Schock staff.Sorry facts don't=story #truth https://t.co/Cf9OaR9L3n","Peoria, IL",
237403203,2011-01-12 19:27:31 +0000,2016-05-01 23:41:21 +0000,5335,69,5208,771,501295,AllenWest,Allen West,true,false,"Former Congressman, retired Army Lieutenant Colonel and author of Guardian of the Republic","WOW: CNN host just ADMITTED what we’ve ALL been saying about Obama…
https://t.co/nbZNdjCZZQ https://t.co/eZLyHS03tx",,http://www.allenbwest.com
20209807,2009-02-06 01:48:11 +0000,2016-04-25 10:00:51 +0000,1110,1,818,220,9569,AnderCrenshaw,Ander Crenshaw,true,false,"Member of Congress, FL-04",Marking #WorldMalariaDay with continued commitment to end #malaria for good. Join the fight. https://t.co/AmZQCbamo4,"Washington, D.C.",http://www.crenshaw.house.gov
19677673,2009-01-28 21:35:52 +0000,2015-08-25 20:34:49 +0000,449,125,565,819,9697,ArturDavis,Artur Davis,true,false,"Former congressman looking to bring positive solutions to my hometown of Montgomery, Alabama.",Just a reminder that we’d love to have our friends and supporters join us for our watch party tonight! Campaign HQ (2880 Zelda Rd) @ 7:30.,,
7356562,2007-07-09 22:04:23 +0000,2014-12-12 15:07:04 +0000,2521,5,1070,651,12456,askgeorge,Rep.George Miller,true,false,"Representing Contra Costa County in Congress. Top priority = creating new jobs. Also, avid reader and hiker.","Last vote of 40 yr career in Cong was for my bill to expand John Muir Nat'l Park in Martinez, CA. Last vote for legendary @john_dingell too",Washington DC/Martinez CA,http://house.gov/georgemiller
234797704,2011-01-06 16:01:46 +0000,2016-04-29 20:04:58 +0000,1723,12,615,315,8796,AustinScottGA08,Rep. Austin Scott,true,false,I am proud to represent the 8th Congressional District of Georgia.,Robins Air Force Base is an essential component to our national defense and the economic engine of middle... https://t.co/WiqQgeVtOQ,"Ashburn, GA",http://austinscott.house.gov
78431501,2009-09-29 22:15:34 +0000,2014-12-12 15:11:20 +0000,532,0,716,2,8317,BachusAL06,Spencer Bachus,true,false,"U.S. Congressman, AL-06",My final thoughts on having the opportunity to serve the people of Alabama in Congress.  Thank you for this honor.  http://t.co/DOuLgmNzpC,Washington,http://www.bachus.house.gov/
813286,2007-03-05 22:08:25 +0000,2016-05-01 22:26:34 +0000,14884,10,214990,636554,74250066,BarackObama,Barack Obama,true,false,This account is run by Organizing for Action staff. Tweets from the President are signed -bo.,"""And with that, I just have two more words to say—Obama out."" —President Obama at the #WHCD

Don't miss this: https://t.co/T4YNBb30zJ","Washington, DC",http://www.barackobama.com
82453460,2009-10-14 20:47:03 +0000,2016-04-28 23:43:09 +0000,659,13,368,413,5161,BennieGThompson,RepBThompson,true,false,,@UnitedHealthGrp Jr,"Bolton, Mississippi",http://benniethompson.house.gov
238321369,2011-01-14 22:17:10 +0000,2014-12-03 04:34:07 +0000,856,0,352,249,5116,benquayle,Ben Quayle,true,false,,@ReverendMaupin thank you. I really appreciate it.,"Phoenix, AZ",
